Date,Type,Total Sales
May 2015,Existing Stores Historical,25792074.5900001
May 2016,New Stores Forecast,2832644.30934907
December 2016,Existing Stores Forecast,21255190.2449756
April 2012,Existing Stores Historical,24406048.3899999
May 2016,Existing Stores Forecast,25621828.7250966
June 2016,New Stores Forecast,2669943.17217349
October 2012,Existing Stores Historical,21203562.52
August 2013,Existing Stores Historical,22600217.01
February 2016,Existing Stores Forecast,21146329.6319817
October 2014,Existing Stores Historical,19497571.95
April 2015,Existing Stores Historical,21559729.45
October 2013,Existing Stores Historical,19296578.09
January 2013,Existing Stores Historical,20322683.64
November 2013,Existing Stores Historical,20489773.49
January 2016,New Stores Forecast,2786991.73273087
July 2012,Existing Stores Historical,28535707.45
October 2015,Existing Stores Historical,20359980.58
September 2016,New Stores Forecast,2821052.99517613
May 2013,Existing Stores Historical,23000152.4
July 2016,New Stores Forecast,2953317.28449881
July 2015,Existing Stores Historical,26338477.15
September 2016,Existing Stores Forecast,20640047.3199708
August 2014,Existing Stores Historical,21879988.86
October 2016,New Stores Forecast,2727588.81504019
January 2014,Existing Stores Historical,22544458.38
August 2015,Existing Stores Historical,23130626.5999999
February 2013,Existing Stores Historical,19829620.75
January 2015,Existing Stores Historical,20088529.29
June 2015,Existing Stores Historical,27212464.15
September 2012,Existing Stores Historical,21915641.66
April 2013,Existing Stores Historical,21625385.04
July 2014,Existing Stores Historical,24263117.59
April 2016,New Stores Forecast,2829740.79103282
April 2014,Existing Stores Historical,22541987.92
September 2014,Existing Stores Historical,18407263.58
February 2016,New Stores Forecast,2696833.28710321
August 2016,New Stores Forecast,2915367.23335491
November 2014,Existing Stores Historical,19444753.17
March 2013,Existing Stores Historical,22717069.8500001
March 2016,Existing Stores Forecast,23735686.9387899
December 2016,New Stores Forecast,2718828.39711761
February 2014,Existing Stores Historical,21262413.12
June 2013,Existing Stores Historical,24755406.2
September 2015,Existing Stores Historical,20774415.93
July 2013,Existing Stores Historical,26803105.5600001
December 2015,Existing Stores Historical,20462899.3
December 2014,Existing Stores Historical,19240384.75
November 2016,New Stores Forecast,2708276.94055952
March 2014,Existing Stores Historical,23247168.62
February 2015,Existing Stores Historical,19772333.34
June 2012,Existing Stores Historical,28691364.32
June 2014,Existing Stores Historical,24782178.43
May 2012,Existing Stores Historical,28249539.01
November 2015,Existing Stores Historical,21936906.81
December 2012,Existing Stores Historical,21962976.75
November 2012,Existing Stores Historical,21736158.96
September 2013,Existing Stores Historical,21401265.74
March 2012,Existing Stores Historical,25151525.84
November 2016,Existing Stores Forecast,20858119.95754
April 2016,Existing Stores Forecast,22409515.2844737
March 2015,Existing Stores Historical,24608406.71
January 2016,Existing Stores Forecast,21829060.031666
October 2016,Existing Stores Forecast,20086270.4620746
July 2016,Existing Stores Forecast,26705092.5563487
August 2016,Existing Stores Forecast,23440761.3295266
May 2014,Existing Stores Historical,25943046.7499999
December 2013,Existing Stores Historical,21715706.6699999
June 2016,Existing Stores Forecast,26307858.0400465
March 2016,New Stores Forecast,2719678.80076033
August 2012,Existing Stores Historical,25793520.64
